radius_kpc,v_obs,v_err,v_gas,v_disk,v_bulge,v_bary,v_model,residual
0.2400,37.3000,6.2000,0.0000,0.0000,0.0000,0.0000,1.6740,35.6260
0.2800,37.9000,5.5000,0.0000,0.0000,0.0000,0.0000,1.9530,35.9470
0.4600,47.1000,3.9000,0.0000,27.0536,0.0000,19.1298,22.3382,24.7618
0.6400,53.5000,2.8000,2.2311,37.8942,0.0000,26.8880,31.3519,22.1481
0.7300,55.1000,3.3000,2.9096,40.6253,0.0000,28.8734,33.9651,21.1349
0.8200,58.5000,2.5000,3.5806,42.4439,0.0000,30.2252,35.9446,22.5554
1.0800,66.2000,3.3000,4.5601,48.0021,0.0000,34.2476,41.7804,24.4196
1.2200,69.4000,2.8000,3.7970,50.4273,0.0000,35.8591,44.3684,25.0316
1.4500,74.6000,5.0000,0.0000,53.7098,0.0000,37.9786,48.0921,26.5079
1.7100,77.9000,2.9000,0.0000,56.1360,0.0000,39.6941,51.6211,26.2789
1.8700,81.7000,2.5000,0.0000,56.6482,0.0000,40.0563,53.0993,28.6007
2.2000,86.8000,3.0000,6.5856,57.9704,0.0000,41.5169,56.8616,29.9384
2.2800,90.1000,2.1000,8.2798,58.2809,0.0000,42.0344,57.9371,32.1629
2.6900,94.4000,3.9000,11.0834,60.1266,0.0000,43.9368,62.6992,31.7008
2.7000,95.4000,1.8000,11.0050,60.1380,0.0000,43.9249,62.7571,32.6429
3.1200,99.2000,2.6000,11.3123,61.4396,0.0000,44.8930,66.6546,32.5454
3.1800,98.7000,2.0000,11.2354,61.5017,0.0000,44.9162,67.0963,31.6037
3.5300,101.3000,2.4000,12.6993,62.0585,0.0000,45.6826,70.3039,30.9961
3.6600,101.5000,1.3000,14.0496,62.0857,0.0000,46.0945,71.6225,29.8775
4.1500,106.3000,2.8000,17.5908,62.2189,0.0000,47.3817,76.3274,29.9726
4.6400,109.4000,1.4000,20.3601,61.8062,0.0000,48.2135,80.5768,28.8232
5.1300,108.8000,1.6000,22.5439,61.0259,0.0000,48.6858,84.4668,24.3332
5.6200,107.3000,2.7000,24.8526,59.9758,0.0000,49.1549,88.3536,18.9464
6.1100,108.2000,2.2000,27.7416,58.7400,0.0000,49.9479,92.5643,15.6357
6.6000,109.8000,1.6000,30.7743,57.3824,0.0000,50.9257,96.9598,12.8402
7.0900,110.1000,1.7000,33.9210,55.9435,0.0000,52.1102,101.5620,8.5380
7.5700,111.1000,1.6000,36.7297,54.4853,0.0000,53.2297,106.0294,5.0706
8.0600,113.0000,2.6000,37.9995,52.9855,0.0000,53.3638,109.5812,3.4188
8.5500,113.9000,2.4000,37.8063,51.4866,0.0000,52.4858,112.1208,1.7792
9.0400,115.1000,3.2000,37.2062,49.9935,0.0000,51.3223,114.3750,0.7250
9.5300,116.3000,3.1000,36.0275,48.4942,0.0000,49.7376,116.2080,0.0920
10.0200,119.1000,2.7000,34.5644,46.8948,0.0000,47.8984,117.7865,1.3135
10.5100,121.0000,2.7000,33.3026,45.4204,0.0000,46.2663,119.5721,1.4279
10.9900,121.5000,2.1000,32.2662,44.2986,0.0000,44.9699,121.6237,-0.1237
11.4800,118.6000,2.0000,31.4897,43.3021,0.0000,43.9220,123.9934,-5.3934
11.9700,118.7000,1.9000,30.9046,42.4122,0.0000,43.0638,126.5529,-7.8529
12.4600,117.2000,1.9000,30.2729,41.6027,0.0000,42.2119,129.1187,-11.9187
12.9500,116.2000,2.0000,29.6029,40.8596,0.0000,41.3653,131.6897,-15.4897
13.4400,118.3000,2.4000,28.8980,40.1826,0.0000,40.5267,134.2689,-15.9689
13.9300,119.0000,2.4000,28.2042,39.5359,0.0000,39.7117,136.8715,-17.8715
14.4100,121.3000,2.9000,27.7080,38.9336,0.0000,39.0596,139.5673,-18.2673
14.9000,121.4000,3.7000,27.5407,38.3519,0.0000,38.6513,142.5768,-21.1768
15.3900,120.3000,3.4000,27.3030,37.8206,0.0000,38.2185,145.5617,-25.2617
15.8800,121.9000,4.2000,26.7428,37.3154,0.0000,37.5686,148.3294,-26.4294
16.3700,126.3000,7.2000,26.3132,36.8114,0.0000,37.0125,151.1910,-24.8910
16.8600,126.3000,4.5000,26.1601,36.3267,0.0000,36.6629,154.2591,-27.9591
17.3500,127.2000,5.5000,25.7812,35.8843,0.0000,36.1733,157.1872,-29.9872
17.8400,126.2000,4.7000,25.2850,35.4619,0.0000,35.6105,160.0420,-33.8420
18.3200,124.2000,12.2000,24.7104,35.0422,0.0000,34.9940,162.7735,-38.5735
18.8100,127.2000,13.3000,24.1053,34.6480,0.0000,34.3702,165.5673,-38.3673
19.3000,120.2000,14.2000,23.9266,34.2550,0.0000,34.0468,168.6617,-48.4617
19.7900,121.8000,13.2000,24.1354,33.9108,0.0000,34.0219,172.0544,-50.2544
20.2800,136.0000,19.1000,24.2474,33.6122,0.0000,33.9533,175.4035,-39.4035
20.7700,128.3000,14.3000,23.8943,33.2813,0.0000,33.5374,178.4053,-50.1053
21.2600,127.4000,15.4000,23.5757,32.9775,0.0000,33.1598,181.4454,-54.0454
21.7400,120.1000,13.1000,23.4253,32.7647,0.0000,32.9471,184.5806,-64.4806
22.2300,112.2000,14.9000,23.4524,32.6933,0.0000,32.9309,187.9821,-75.7821
22.7200,119.6000,13.4000,24.9953,34.2022,0.0000,34.7802,193.2491,-73.6491
