Galaxy_ID,Omega,Omega_err,k_coupling,k_err,R_d_kpc,R_t_kpc,V_sat_km_s,RMSE,Chi2_red,BIC,n_points,converged,flag_v_obs_lt_v_bary,inclination,quality_flag,hubble_type,luminosity_1e9_Lsun,v_flat,distance_mpc
D631-7,7.917548,0.787115,20.000000,8.201633,0.700000,14.000000,110.845665,4.301165,4.461459,68.005602,16,True,True,59.000000,1,10,0.196000,57.700000,7.720000
DDO064,25.713960,9.882183,2.183032,1.592745,0.690000,1.506292,38.732732,2.606736,0.315092,9.059213,14,True,False,60.000000,1,10,0.157000,46.100000,6.800000
DDO154,15.524722,0.553105,8.784045,0.594342,0.370000,3.250096,50.456845,1.512859,3.380845,38.778260,12,True,False,64.000000,2,10,0.053000,47.000000,4.040000
DDO161,4.745678,0.274415,15.373080,2.443497,1.220000,18.755158,89.005939,1.638515,0.455402,20.074640,31,True,False,70.000000,1,10,0.548000,66.300000,7.500000
DDO168,9.794636,0.900950,20.000000,15.586432,1.020000,20.400000,199.810564,3.639550,6.502111,56.622060,10,True,False,63.000000,2,10,0.191000,53.400000,4.250000
ESO079-G014,13.729900,1.429071,1.831350,0.324599,5.080000,9.303259,127.732821,7.861483,2.271230,34.942086,15,True,False,79.000000,1,4,51.733000,175.000000,28.700000
ESO116-G012,19.399315,1.670187,3.462959,0.527947,1.510000,5.229067,101.440328,3.023007,1.204030,21.068487,15,True,False,74.000000,1,7,4.292000,109.100000,13.000000
ESO563-G021,19.131942,0.800421,1.970583,0.133183,5.450000,10.739679,205.470924,20.546530,12.944765,369.255824,30,True,True,83.000000,1,4,311.177000,314.600000,60.800000
F568-3,11.757407,1.370786,1.801574,0.466121,4.990000,8.989854,105.697372,7.697979,1.649987,32.180543,18,True,False,40.000000,1,7,8.346000,0.000000,82.400000
F568-V1,66.703648,25.453798,0.468147,0.226553,2.850000,1.334220,88.997360,7.332359,0.258385,8.775109,15,True,False,40.000000,1,7,3.825000,112.300000,80.600000
F571-8,9.002395,0.656854,20.000000,11.057426,3.560000,71.200000,640.970547,18.200405,19.805596,222.991453,13,True,True,85.000000,1,5,10.164000,139.700000,53.300000
F574-1,27.624691,4.668558,0.581833,0.133186,4.460000,2.594973,71.685331,4.373342,1.009551,17.392732,14,True,False,65.000000,1,7,6.537000,97.800000,96.800000
F583-1,21.932787,2.686215,1.354605,0.270502,2.360000,3.196868,70.116229,6.035599,1.159735,33.111647,25,True,False,63.000000,1,9,0.986000,85.800000,35.400000
F583-4,20.771826,7.422466,1.160575,0.596104,1.930000,2.239910,46.527031,2.159124,0.227796,7.247771,12,True,False,55.000000,1,5,1.715000,0.000000,53.300000
IC2574,4.611161,0.168481,12.240118,2.900825,2.780000,34.027529,156.906420,2.195275,1.892476,67.611939,34,True,False,75.000000,2,9,1.016000,66.400000,3.910000
IC4202,8.374468,0.471045,4.483049,0.617550,4.780000,21.428975,179.456256,25.214699,38.163095,1151.824323,32,True,True,90.000000,1,4,179.749000,242.600000,100.400000
KK98-251,6.583826,1.351867,7.607823,8.619085,1.340000,10.194483,67.118707,0.869735,0.218204,8.252747,15,True,False,59.000000,2,10,0.085000,33.700000,6.800000
NGC0024,72.459168,8.317952,0.773430,0.106883,1.340000,1.036396,75.096398,3.807432,0.619275,23.455025,29,True,False,64.000000,1,5,3.889000,106.300000,7.300000
NGC0055,6.227785,0.460806,2.419608,0.536801,6.110000,14.783805,92.070355,2.420893,1.101498,27.017511,21,True,False,77.000000,2,9,4.628000,85.600000,2.110000
NGC0100,10.088524,1.175233,8.062517,2.967153,1.660000,13.383778,135.022570,1.453799,0.129131,8.542536,21,True,False,89.000000,1,6,3.232000,88.100000,13.500000
NGC0247,28.558446,1.560160,0.518934,0.042030,3.740000,1.940812,55.426585,4.140968,1.319733,38.189791,26,True,False,74.000000,2,7,7.332000,104.900000,3.700000
NGC0289,11.499307,1.424546,1.323164,0.210205,6.740000,8.918125,102.552255,10.058417,1.539782,46.698732,28,True,False,46.000000,2,4,72.065000,163.000000,20.800000
NGC0300,17.981437,1.460900,2.722622,0.357774,1.750000,4.764588,85.674148,3.530249,0.493906,17.797600,25,True,False,42.000000,2,7,2.922000,93.300000,2.080000
NGC0801,5.463898,0.789348,2.102774,0.450995,8.720000,18.336191,100.187071,14.872909,8.306547,96.501910,13,True,True,80.000000,1,5,312.570000,220.100000,80.700000
NGC0891,4.419054,0.466629,20.000000,10.676914,2.550000,51.000000,225.371775,26.929812,23.844531,387.293234,18,True,True,90.000000,1,3,138.340000,216.100000,9.910000
NGC1003,7.749308,0.294511,8.742627,0.571205,1.610000,14.075629,109.076387,3.883231,2.899970,105.766025,36,True,False,67.000000,1,6,6.820000,109.800000,11.400000
NGC1090,8.058655,0.766496,3.458722,0.505718,3.530000,12.209290,98.390455,7.817980,2.030674,51.030941,24,True,True,64.000000,1,4,72.045000,164.400000,37.000000
NGC1705,105.871181,34.074163,1.326869,0.514223,0.390000,0.517479,54.786109,2.900076,0.190056,7.558784,14,True,False,80.000000,3,11,0.533000,71.900000,5.730000
NGC2366,11.832066,1.234913,5.933023,1.305835,0.650000,3.856465,45.629950,3.190974,1.463279,41.634894,26,True,False,68.000000,3,10,0.236000,50.200000,3.270000
NGC2403,19.369386,0.237377,3.519996,0.067429,1.390000,4.892794,94.770412,5.425675,12.664058,907.729025,73,True,False,63.000000,1,6,10.041000,131.200000,3.160000
NGC2683,14.720800,3.163065,2.880903,0.891764,2.180000,6.280369,92.452060,7.511706,0.780699,11.822080,11,True,False,80.000000,2,3,80.415000,154.000000,9.810000
NGC2841,29.801448,1.363420,1.654885,0.090311,3.640000,6.023782,179.517429,7.589459,2.273857,116.969179,50,True,False,76.000000,1,3,188.121000,284.800000,14.100000
NGC2903,7.620967,0.193165,11.149205,0.849671,2.330000,25.977647,197.974777,24.370478,15.761923,511.434244,34,True,True,66.000000,1,4,81.863000,184.600000,6.600000
NGC2915,39.981906,8.776897,3.470462,0.988158,0.550000,1.908754,76.315633,10.158245,1.103051,37.687814,30,True,True,56.000000,2,11,0.641000,83.500000,4.060000
NGC2955,2.754065,0.354741,9.909502,11.963829,18.760000,185.902264,511.986841,14.531899,4.904852,114.262854,24,True,True,56.000000,1,3,319.422000,0.000000,97.900000
NGC2976,13.517561,2.093774,12.190334,18.260658,1.010000,12.312237,166.431418,1.966850,0.346167,15.245853,27,True,True,61.000000,2,5,3.371000,85.400000,3.580000
NGC2998,12.089849,1.897976,1.505272,0.313048,6.200000,9.332687,112.830775,27.254613,3.802668,46.959242,13,True,False,58.000000,1,5,150.902000,209.900000,68.100000
NGC3109,12.759197,0.705448,5.702517,0.956364,1.560000,8.895927,113.504884,1.075550,0.287349,13.046784,25,True,False,70.000000,1,9,0.194000,66.200000,1.330000
NGC3198,11.790271,0.283486,2.759379,0.097798,3.140000,8.664451,102.156227,6.442369,1.362503,63.385016,43,True,True,73.000000,1,5,38.279000,150.100000,13.800000
NGC3521,7.182817,0.852187,20.000000,11.461133,2.400000,48.000000,344.775235,6.102326,0.474386,25.928205,41,True,False,75.000000,1,4,84.836000,213.700000,7.700000
NGC3726,3.375431,0.454023,20.000000,12.519208,3.400000,68.000000,229.529313,9.035200,2.166739,26.637207,12,True,False,53.000000,2,5,70.234000,168.000000,18.000000
NGC3741,17.521532,1.561339,15.525416,2.474288,0.200000,3.105083,54.405813,1.115496,0.278461,11.379799,21,True,False,70.000000,1,10,0.028000,50.100000,3.210000
NGC3769,8.091592,1.240483,3.651698,1.041055,3.380000,12.342739,99.872403,7.223026,1.188841,16.858220,12,True,True,70.000000,2,3,18.679000,118.600000,18.000000
NGC3877,24.485430,14.415508,0.615151,0.444767,2.530000,1.556333,38.107477,18.032208,6.563344,77.326682,13,True,True,76.000000,2,5,72.535000,168.400000,18.000000
NGC3893,9.732780,1.791757,6.631925,2.990365,2.380000,15.783982,153.622031,6.590919,0.842174,11.342561,10,True,False,49.000000,1,5,58.525000,174.000000,18.000000
NGC3917,18.112711,2.216594,1.767126,0.331670,2.630000,4.647542,84.179587,5.177743,1.873475,33.768555,17,True,True,79.000000,1,6,21.966000,135.900000,18.000000
NGC3972,18.648847,3.840287,2.205365,0.818116,2.180000,4.807695,89.657973,4.784084,1.173452,13.992786,10,True,False,77.000000,1,4,14.353000,132.700000,18.000000
NGC4010,7.416833,1.412525,8.870079,6.682762,2.810000,24.924922,184.863993,6.748413,1.719663,22.166447,12,True,False,89.000000,2,7,17.193000,125.800000,18.000000
NGC4013,4.381593,0.252094,20.000000,4.756205,3.530000,70.600000,309.340479,5.598793,0.894040,37.564410,36,True,False,89.000000,2,3,79.094000,172.900000,18.000000
NGC4088,2.057907,0.908733,20.000000,37.674601,2.580000,51.600000,106.187999,13.796735,4.168627,46.656079,12,True,True,69.000000,1,4,107.286000,171.700000,18.000000
NGC4100,23.325580,3.781016,1.811063,0.389924,2.150000,3.893786,90.824817,6.053044,1.127366,31.158168,24,True,False,73.000000,1,4,59.394000,158.200000,18.000000
NGC4157,4.112799,0.722140,20.000000,11.945852,2.320000,46.400000,190.833876,9.343223,1.165387,23.147233,17,True,True,82.000000,1,3,105.620000,184.700000,18.000000
NGC4183,35.781363,8.672826,0.581755,0.164734,2.790000,1.623098,58.076651,3.505422,0.296718,12.502075,23,True,False,82.000000,1,6,10.838000,110.600000,18.000000
NGC4217,2.154996,0.825897,20.000000,45.451932,2.940000,58.800000,126.713793,43.742356,41.103258,704.644259,19,True,True,86.000000,1,3,85.299000,181.300000,18.000000
NGC4559,6.745722,0.797554,6.855661,1.684014,2.100000,14.396888,97.117402,3.389979,0.476754,21.234079,32,True,False,67.000000,1,6,19.377000,121.200000,9.000000
NGC5005,4.446777,2.479950,20.000000,256.241839,9.450000,189.000000,840.440896,12.515558,0.757821,17.905885,18,True,True,68.000000,1,4,178.720000,262.200000,16.900000
NGC5033,14.406648,0.877872,1.723852,0.145177,5.160000,8.895078,128.148258,17.778868,6.269852,131.579115,22,True,True,66.000000,1,5,110.509000,194.200000,15.700000
NGC5055,3.071206,0.043093,20.000000,0.793030,3.200000,64.000000,196.557173,9.812860,84.776107,2210.843179,28,True,True,55.000000,1,4,152.922000,179.000000,9.900000
NGC5371,55.512050,29.711906,0.100000,0.056007,7.440000,0.744000,41.300965,14.417476,11.772437,206.020305,19,True,False,53.000000,1,4,340.393000,209.500000,39.700000
NGC5585,9.647510,0.447373,7.477047,0.847268,1.530000,11.439882,110.366374,4.042914,5.852477,135.110599,24,True,False,51.000000,1,7,2.943000,90.300000,7.060000
NGC5907,16.665141,1.453719,1.193340,0.127724,5.340000,6.372433,106.197499,11.934474,8.090843,143.433216,19,True,False,88.000000,1,5,175.425000,215.000000,17.300000
NGC5985,200.000000,42.279279,0.101345,0.022412,7.010000,0.710427,142.085426,10.011376,3.784010,124.297332,33,True,False,60.000000,1,3,208.728000,293.600000,39.700000
NGC6015,36.428608,1.433695,0.943065,0.049237,2.300000,2.169050,79.015489,11.038361,11.193435,477.692635,44,True,False,60.000000,2,6,32.129000,154.100000,17.000000
NGC6195,2.019454,0.246735,20.000000,25.984064,13.940000,278.800000,563.023816,9.699537,2.542559,59.664731,23,True,True,62.000000,1,3,391.076000,251.700000,127.800000
NGC6503,13.554924,0.496354,3.229415,0.182817,2.160000,6.975537,94.552871,4.544239,3.156567,98.408416,31,True,False,74.000000,1,6,12.845000,116.300000,6.260000
NGC6674,14.541582,1.147877,1.758102,0.172675,6.040000,10.618934,154.416098,16.074053,12.038223,161.912994,15,True,False,54.000000,1,3,214.654000,241.300000,51.200000
NGC6946,4.998325,0.216027,17.640948,4.062956,2.440000,43.043914,215.147465,7.850759,2.121734,126.937991,58,True,True,38.000000,1,6,66.173000,158.900000,5.520000
NGC7331,3.433701,0.186613,20.000000,5.416574,5.020000,100.400000,344.743607,18.461440,10.569521,366.530750,36,True,True,75.000000,1,3,250.631000,239.000000,14.700000
NGC7793,22.405187,3.295519,1.941735,0.479310,1.210000,2.349499,52.640961,5.774579,0.733040,39.911023,46,True,True,47.000000,1,7,7.050000,0.000000,3.610000
NGC7814,10.602734,0.753993,8.459761,1.568430,2.540000,21.487792,227.829335,10.972273,1.497461,29.740117,18,True,True,90.000000,1,2,74.529000,218.900000,14.400000
UGC00128,46.293713,3.980602,0.297704,0.027690,5.950000,1.771337,82.001750,6.376166,4.610492,98.391929,22,True,False,57.000000,1,8,12.020000,129.300000,64.500000
UGC00731,81.252960,18.602748,0.231746,0.059368,2.300000,0.533016,43.309103,3.018948,1.386280,18.832615,12,True,False,57.000000,1,10,0.323000,73.300000,12.500000
UGC01281,15.751555,2.664579,2.547856,0.978284,1.630000,4.153006,65.416298,1.414524,0.110284,8.974290,25,True,False,90.000000,1,8,0.353000,55.200000,5.270000
UGC02487,36.949119,4.251504,0.681741,0.087108,7.890000,5.378933,198.746845,10.066284,3.923046,64.512123,17,True,False,36.000000,1,0,489.955000,332.000000,69.100000
UGC02885,8.238191,1.071107,2.065393,0.403851,11.400000,23.545486,193.972216,14.823317,2.455814,47.637713,19,True,False,64.000000,1,5,403.525000,289.500000,80.600000
UGC02916,3.181091,0.114205,20.000000,7.855929,6.150000,123.000000,391.274239,23.672178,50.517173,2078.726503,43,True,True,50.000000,2,2,124.153000,182.700000,65.400000
UGC02953,13.768186,0.151577,3.667327,0.064176,3.550000,13.019011,179.248160,21.902089,6.382556,730.718705,115,True,True,50.000000,2,2,259.518000,264.900000,16.500000
UGC03205,20.942290,1.274625,1.681442,0.129692,3.190000,5.363799,112.330234,12.993068,5.055571,240.298670,48,True,True,67.000000,1,2,113.642000,219.600000,50.000000
UGC03546,6.656096,0.333560,6.867076,0.968969,3.790000,26.026218,173.233014,32.085315,3.970276,117.970125,30,True,True,55.000000,1,1,101.336000,196.900000,28.700000
UGC03580,4.868133,0.123667,20.000000,1.996825,2.430000,48.600000,236.591264,18.141001,33.942567,1535.115822,47,True,True,63.000000,2,1,13.266000,126.200000,20.700000
UGC04278,14.025461,1.603065,4.343175,1.541143,2.210000,9.598416,134.622212,4.319397,0.936289,27.972407,25,True,False,90.000000,1,7,1.307000,91.400000,9.510000
UGC04305,30.659260,111.938329,0.100000,0.384392,1.160000,0.116000,3.556474,4.949531,2.116142,48.504925,22,True,True,40.000000,3,10,0.736000,34.500000,3.450000
UGC05005,6.142191,1.875483,4.784056,2.702022,3.200000,15.308978,94.030665,2.464613,0.067983,5.407636,11,True,False,41.000000,1,10,4.100000,98.900000,53.700000
UGC05253,7.316714,0.136036,3.394852,0.153368,8.070000,27.396456,200.452039,16.537442,8.498011,611.939684,73,True,False,37.000000,2,2,171.582000,213.700000,22.900000
UGC05716,35.537455,2.499199,1.196291,0.105049,1.140000,1.363771,48.464957,1.431934,2.204065,27.010464,12,True,False,54.000000,2,9,0.588000,73.100000,21.300000
UGC05721,77.442845,11.198525,2.077897,0.381217,0.380000,0.789601,61.148927,4.357651,0.891849,24.999816,23,True,False,61.000000,1,7,0.531000,79.700000,6.180000
UGC05750,9.100350,2.905785,1.891023,1.161468,3.460000,6.542938,59.543030,4.481941,0.304751,7.538553,11,True,False,64.000000,1,8,3.336000,0.000000,58.700000
UGC05764,133.124707,19.684720,0.242907,0.041530,1.170000,0.284202,37.834267,3.729325,6.451753,56.219194,10,True,False,60.000000,2,10,0.085000,0.000000,7.470000
UGC05829,29.164724,13.078418,0.588594,0.343465,1.990000,1.171303,34.160728,1.364530,0.088882,5.595732,11,True,False,34.000000,2,10,0.564000,0.000000,8.640000
UGC05986,23.237496,1.707442,2.853673,0.387185,1.670000,4.765633,110.741387,4.146768,1.231527,21.425945,15,True,False,90.000000,2,9,4.695000,113.000000,8.630000
UGC06446,71.266428,19.731619,0.494887,0.159957,1.490000,0.737381,52.550534,2.840895,0.310658,10.326292,17,True,False,51.000000,1,7,0.988000,82.200000,12.000000
UGC06614,3.060715,0.469626,20.000000,11.573638,5.100000,102.000000,312.192903,13.345293,1.640542,23.175864,13,True,True,36.000000,1,1,124.350000,199.800000,88.700000
UGC06786,16.898303,0.382643,3.173588,0.119963,3.600000,11.424917,193.061718,10.449394,1.480469,71.273502,45,True,False,64.000000,1,0,73.407000,219.400000,29.300000
UGC06787,13.180041,0.163660,3.159009,0.080807,5.370000,16.963880,223.584626,18.651687,28.347138,1964.477856,71,True,True,66.000000,2,2,98.256000,248.100000,21.300000
UGC06917,20.091012,3.347546,1.421286,0.380979,2.760000,3.922750,78.812023,2.871423,0.650926,10.654128,11,True,False,56.000000,1,9,6.832000,108.700000,18.000000
UGC06930,29.216641,12.557746,0.506131,0.265267,3.940000,1.994157,58.262565,3.927542,0.339115,7.318086,10,True,False,32.000000,1,7,8.932000,107.200000,18.000000
UGC06983,35.518171,7.875258,0.628019,0.176721,3.210000,2.015940,71.602496,5.187838,0.694732,16.087409,17,True,False,49.000000,1,6,5.298000,109.000000,18.000000
UGC07089,5.713273,1.425480,9.336586,9.946207,2.260000,21.100684,120.553974,1.568572,0.126235,6.232165,12,True,False,80.000000,2,8,3.585000,0.000000,18.000000
UGC07125,9.965057,2.659843,0.880439,0.306647,3.380000,2.975884,29.654856,2.829935,1.403599,20.569486,13,True,False,90.000000,1,9,2.712000,65.200000,19.800000
UGC07151,31.956371,5.792408,1.038207,0.271494,1.250000,1.297759,41.471662,2.682396,1.568939,18.916244,11,True,False,90.000000,1,6,2.284000,73.500000,6.870000
UGC07323,9.533861,2.272281,4.187681,3.158304,2.260000,9.464159,90.229983,1.617857,0.218458,6.352835,10,True,False,47.000000,1,8,4.109000,0.000000,8.000000
