Galaxy_ID,Sigma_0,k_predicted,k_fitted,R_t_predicted,R_t_fitted,Omega_original,Omega_unified,Chi2_red_original,Chi2_red_unified,RMSE_original,RMSE_unified,BIC_original,BIC_unified,converged
D631-7,63661977.236758,3.191124,9.573373,2.233787,6.701361,7.917548,9.798562,4.461459,6.838147,4.301165,5.669411,68.005602,101.279240,True
DDO168,29218179.671811,3.011939,9.035818,3.072178,9.216534,9.794636,11.101743,6.502111,7.243020,3.639550,3.560261,56.622060,62.549327,True
F571-8,127639411.184354,3.351173,10.053518,11.930174,35.790523,9.002395,10.071010,19.805596,20.783198,18.200405,18.740480,222.991453,233.745077,True
NGC0891,3386004587.056179,4.105418,12.316255,10.468817,31.406451,4.419054,4.926423,23.844531,25.474552,26.929812,27.519140,387.293234,413.373582,True
NGC3521,2344109158.358339,4.020808,12.062423,9.649939,28.949816,7.182817,8.070093,0.474386,0.511574,6.102326,6.719357,25.928205,27.378550,True
NGC3726,966962653.383753,3.817072,11.451217,12.978046,38.934137,3.375431,3.864943,2.166739,2.541481,9.035200,11.086215,26.637207,30.384626,True
NGC4013,1010216041.289985,3.827140,11.481421,13.509806,40.529417,4.381593,5.127444,0.894040,1.411680,5.598793,6.325868,37.564410,55.164175,True
NGC4088,2565215014.806364,4.041546,12.124639,10.427190,31.281570,2.057907,2.318379,4.168627,4.546684,13.796735,14.415988,46.656079,50.436650,True
NGC4157,3123131890.860209,4.086825,12.260474,9.481433,28.444300,4.112799,4.821091,1.165387,1.649994,9.343223,11.104657,23.147233,30.416338,True
NGC4217,1570613805.682306,3.928675,11.786025,11.550305,34.650914,2.154996,2.293347,41.103258,41.709152,43.742356,44.087608,704.644259,714.944463,True
NGC5005,318514839.219322,3.561571,10.684713,33.656846,100.970539,4.446777,4.579754,0.757821,0.777126,12.515558,12.716133,17.905885,18.214754,True
NGC5055,2376786348.388556,4.023993,12.071979,12.876778,38.630333,3.071206,3.698103,84.776107,119.371700,9.812860,10.847972,2210.843179,3110.328597,True
NGC6195,320299122.312504,3.562856,10.688569,49.666217,148.998652,2.019454,2.165354,2.542559,2.776158,9.699537,10.080668,59.664731,64.570316,True
NGC7331,1582878150.428756,3.930465,11.791394,19.730933,59.192798,3.433701,3.884239,10.569521,12.529631,18.461440,19.721555,366.530750,433.174496,True
UGC02916,522428809.562776,3.675419,11.026257,22.603826,67.811479,3.181091,3.355616,50.517173,51.339704,23.672178,23.226557,2078.726503,2112.450264,True
UGC03580,357558887.543749,3.588175,10.764526,8.719266,26.157798,4.868133,5.843194,33.942567,36.646420,18.141001,18.883947,1535.115822,1656.789174,True
UGC06614,760896469.568519,3.761931,11.285792,19.185847,57.557541,3.060715,3.589808,1.640542,2.233908,13.345293,14.847371,23.175864,29.702881,True
UGC09037,596135976.139145,3.705785,11.117354,15.860759,47.582277,2.654588,2.966560,6.682461,7.249624,12.447345,12.934408,139.831304,151.174563,True
UGC11557,254668954.228764,3.510101,10.530304,9.652778,28.958335,1.559225,1.707660,1.280384,1.316959,8.468934,8.578780,17.773657,18.139405,True
